landmark_id,x_coordinates,y_coordinates,exercise_id,landmark_image_url,landmark_name,landmark_description
1,103.835722,1.279946,1,landmark/1/2024_09_25/GkNtmyhM_image.jpeg,Museum,"Step inside the museum, and engage in mindful observation "
2,103.835621,1.280228,2,landmark/1/2024_09_25/GkNtmyhM_image.jpeg,SGH Bicentennial Garden,Embark on a delightful stroll through the SGH Bicentennial Garden!
3,103.835939,1.280253,3,landmark/1/2024_09_25/GkNtmyhM_image.jpeg,Connector,"Head up to the Connector on level 2, where you’ll find a pathway connecting to the museum! "
